date,n,pct_above_ma10,pct_above_ma5,pct_rsi_lt40,pct_up,pct_above_ma5_prev,idx_close,idx_ret,ma5,ma10,rsi,K,D,macd,macd_prev,vol,vol_avg5,max10,drawdown10,J,K_prev,D_prev,oversold_recent
2025-08-12,1379,0.8056562726613488,0.6490210297316896,0.0101522842639593,0.3727338651196519,0.7625272331154684,2409.398,0.012430372768315046,2364.9978,2352.1312000000003,70.32283273975358,69.08452893712249,56.13659063710188,-6.695803607396499,-12.351256004510248,24488379168.0,24529088660.0,2409.398,0.0,94.98040553716369,53.62679340568371,49.662621487091585,False
2025-08-13,1377,0.7995642701525054,0.6325344952795933,0.0116194625998547,0.5366739288307916,0.6490210297316896,2496.504,0.03615259911396951,2392.5076,2365.0132000000003,77.3739495956893,79.15657729119445,63.80991952179941,7.333814049461978,-6.695803607396499,27243425162.0,24923218750.6,2496.504,0.0,109.84989282998454,69.08452893712249,56.13659063710188,False
2025-08-14,1378,0.3853410740203193,0.2481857764876632,0.0362844702467343,0.1313497822931785,0.6325344952795933,2469.656,-0.010754238727436416,2417.8666,2379.1475,71.71791961945188,79.12868348477322,68.916174176124,11.315469145119593,7.333814049461978,29313157882.0,25274037523.2,2496.504,0.01075423872743643,99.55370210207167,79.15657729119445,63.80991952179941,False
2025-08-15,1378,0.5761973875181422,0.4970972423802612,0.0159651669085631,0.9005805515239478,0.2481857764876632,2534.219,0.026142507296562867,2457.9186,2400.3067,76.21975584879907,84.91807480368098,74.25014105197633,20.432013720719652,11.315469145119593,28003965052.0,25977098020.2,2534.219,0.0,106.25394230709028,79.12868348477322,68.916174176124,False
2025-08-18,1377,0.7690631808278867,0.8031953522149601,0.0094408133623819,0.8380537400145244,0.4970972423802612,2606.202,0.028404411773410354,2503.1958,2427.4946,80.03541483568958,86.98139386720035,78.49389199038434,33.18958865079041,20.432013720719652,36132657522.0,26707981562.6,2606.202,0.0,103.95639762083235,84.91807480368098,74.25014105197633,False
2025-08-19,1377,0.813362381989833,0.8329702251270878,0.0094408133623819,0.5519244734931009,0.8031953522149601,2601.743,-0.0017109188006149134,2541.6648,2453.3313000000003,79.18778998561999,87.80854492020775,81.59877630032548,37.72817220863902,33.18958865079041,32436301630.0,29036316957.2,2606.202,0.0017109188006149511,100.2280821599723,86.98139386720035,78.49389199038434,False
2025-08-20,1376,0.8197674418604651,0.8132267441860465,0.0079941860465116,0.5494186046511628,0.8329702251270878,2607.653,0.0022715541081497204,2563.8946,2478.2010999999998,79.49771627134555,88.9236710072137,84.04040786928822,38.11479172910836,37.72817220863902,28314502907.0,30625901449.6,2607.653,0.0,98.69019728306469,87.80854492020775,81.59877630032548,False
2025-08-21,1377,0.7312999273783588,0.5751633986928104,0.0079883805374001,0.3275236020334059,0.8132267441860465,2595.465,-0.004673934760491383,2589.0564000000004,2503.4615,76.95268208100958,88.23371743323722,85.43817772393788,33.48195791401167,38.11479172910836,29243337744.0,30840116998.6,2607.653,0.004673934760491387,93.82479685183591,88.9236710072137,84.04040786928822,False
2025-08-22,1376,0.7369186046511628,0.5363372093023255,0.0094476744186046,0.5559593023255814,0.5751633986928104,2682.553,0.03355391037829425,2618.7232,2538.3208999999997,81.50812384614491,92.01331129685114,87.62988891490897,38.54070142667078,33.48195791401167,29381103128.0,30826152971.0,2682.553,0.0,100.78015606073546,88.23371743323722,85.43817772393788,False
2025-08-25,1376,0.7819767441860465,0.6300872093023255,0.0109011627906976,0.6148255813953488,0.5363372093023255,2762.99,0.029985241670900775,2650.0808,2576.6383,84.54636936116738,92.95015822214896,89.4033120173223,48.472005538566435,38.54070142667078,35203654117.0,31101580586.2,2762.99,0.0,100.04385063180226,92.01331129685114,87.62988891490897,False
