B,R,tol,Rb,recall,false,relax,n_confirm_days
0.6,0.375,0.015,0.08,3,0,2.85,137
0.6,0.375,0.02,0.13,3,0,2.85,140
0.625,0.4,0.0125,0.03,3,0,2.848,137
0.625,0.4,0.0175,0.08,3,0,2.848,157
0.6,0.5,0.0125,0.0,3,0,2.8472,152
0.65,0.425,0.015,0.03,3,0,2.846,156
0.65,0.425,0.02,0.08,3,0,2.846,170
0.625,0.525,0.015,0.0,3,0,2.8452,177
0.6,0.4,0.015,0.07,3,0,2.8444,144
0.6,0.4,0.02,0.12,3,0,2.8444,144
0.725,0.375,0.015,0.01,3,0,2.8429,174
0.725,0.375,0.02,0.06,3,0,2.8429,192
0.625,0.425,0.0125,0.02,3,0,2.8425,138
0.625,0.425,0.0175,0.07,3,0,2.8425,161
0.65,0.45,0.015,0.02,3,0,2.8405,161
0.65,0.45,0.02,0.07,3,0,2.8405,179
0.7,0.375,0.0125,0.0,3,0,2.8393,159
0.6,0.425,0.015,0.06,3,0,2.8389,145
0.6,0.425,0.02,0.11,3,0,2.8389,147
0.725,0.4,0.015,0.0,3,0,2.8373,183
0.625,0.45,0.0125,0.01,3,0,2.8369,146
0.625,0.45,0.0175,0.06,3,0,2.8369,168
0.675,0.375,0.015,0.04,3,0,2.8357,157
0.675,0.375,0.02,0.09,3,0,2.8357,165
0.65,0.475,0.015,0.01,3,0,2.8349,168
0.65,0.475,0.02,0.06,3,0,2.8349,185
0.6,0.45,0.015,0.05,3,0,2.8333,149
0.6,0.45,0.02,0.1,3,0,2.8333,154
0.65,0.375,0.0125,0.03,3,0,2.8321,138
0.65,0.375,0.0175,0.08,3,0,2.8321,158
0.625,0.475,0.0125,0.0,3,0,2.8313,153
0.675,0.4,0.015,0.03,3,0,2.8302,160
0.675,0.4,0.02,0.08,3,0,2.8302,175
0.65,0.5,0.015,0.0,3,0,2.8294,177
0.625,0.375,0.015,0.07,3,0,2.8286,145
0.625,0.375,0.02,0.12,3,0,2.8286,145
0.6,0.475,0.015,0.04,3,0,2.8278,151
0.6,0.475,0.02,0.09,3,0,2.8278,158
0.65,0.4,0.0125,0.02,3,0,2.8266,142
0.65,0.4,0.0175,0.07,3,0,2.8266,166
0.6,0.375,0.0125,0.06,3,0,2.825,129
0.675,0.425,0.015,0.02,3,0,2.8246,161
0.675,0.425,0.02,0.07,3,0,2.8246,179
0.625,0.4,0.015,0.06,3,0,2.823,150
0.625,0.4,0.02,0.11,3,0,2.823,152
0.6,0.5,0.015,0.03,3,0,2.8222,154
0.6,0.5,0.02,0.08,3,0,2.8222,168
0.75,0.375,0.015,0.0,3,0,2.8214,183
0.925,0.15,0.015,0.0,3,0,2.8214,180
0.65,0.425,0.0125,0.01,3,0,2.821,146
0.65,0.425,0.0175,0.06,3,0,2.821,168
0.6,0.4,0.0125,0.05,3,0,2.8194,131
0.6,0.4,0.0175,0.1,3,0,2.8194,144
0.675,0.45,0.015,0.01,3,0,2.819,169
0.675,0.45,0.02,0.06,3,0,2.819,186
0.625,0.425,0.015,0.05,3,0,2.8175,149
0.625,0.425,0.02,0.1,3,0,2.8175,154
0.6,0.525,0.015,0.02,3,0,2.8167,159
0.6,0.525,0.02,0.07,3,0,2.8167,177
0.65,0.45,0.0125,0.0,3,0,2.8155,154
0.7,0.375,0.015,0.03,3,0,2.8143,161
0.7,0.375,0.02,0.08,3,0,2.8143,176
0.6,0.425,0.0125,0.04,3,0,2.8139,130
0.6,0.425,0.0175,0.09,3,0,2.8139,143
0.675,0.475,0.015,0.0,3,0,2.8135,178
0.625,0.45,0.015,0.04,3,0,2.8119,152
0.625,0.45,0.02,0.09,3,0,2.8119,159
0.6,0.55,0.015,0.01,3,0,2.8111,167
0.6,0.55,0.02,0.06,3,0,2.8111,184
0.675,0.375,0.0125,0.02,3,0,2.8107,143
0.675,0.375,0.0175,0.07,3,0,2.8107,167
0.7,0.4,0.015,0.02,3,0,2.8087,165
0.7,0.4,0.02,0.07,3,0,2.8087,184
0.6,0.45,0.0125,0.03,3,0,2.8083,133
0.6,0.45,0.0175,0.08,3,0,2.8083,152
0.65,0.375,0.015,0.06,3,0,2.8071,151
