date,high,low,close,volume
2026-06-02,2041.331,1962.034,2018.697,5369406100.0
2026-06-03,2105.092,2025.289,2061.055,5859575300.0
2026-06-04,2091.686,2027.897,2075.258,5365728900.0
2026-06-05,2084.083,2014.439,2025.383,6079501600.0
2026-06-08,2002.902,1929.215,1955.275,5972898200.0
2026-06-09,2031.878,1970.846,2029.96,5649693300.0
2026-06-10,2068.082,1984.662,2014.203,5850605000.0
2026-06-11,2040.276,1998.379,2034.301,5731370600.0
2026-06-12,2099.538,2022.293,2029.326,7232977500.0
2026-06-15,2128.585,2025.562,2128.585,6154373400.0
2026-06-16,2168.319,2121.508,2155.569,6209897100.0
2026-06-17,2224.981,2125.84,2224.702,6386988800.0
2026-06-18,2310.336,2219.597,2297.928,6650334900.0
2026-06-22,2320.473,2233.981,2308.94,7389054200.0
2026-06-23,2341.401,2253.084,2278.729,6504342400.0
2026-06-24,2348.905,2238.382,2342.639,6513487600.0
2026-06-25,2395.394,2331.145,2391.953,6773949600.0
2026-06-26,2393.425,2301.394,2343.66,6960640600.0
2026-06-29,2419.098,2303.095,2416.671,7706933400.0
2026-06-30,2524.736,2408.929,2520.357,7246697200.0
2026-07-01,2565.154,2455.767,2486.641,7933008800.0
2026-07-02,2463.597,2335.188,2346.276,7466575500.0
2026-07-03,2396.382,2302.987,2338.134,6872793600.0
2026-07-06,2374.173,2261.761,2319.716,6829913100.0
2026-07-07,2359.74,2280.358,2315.59,5600521100.0
2026-07-08,2373.356,2261.403,2305.499,5888949100.0
2026-07-09,2461.919,2307.195,2459.393,6572333800.0
2026-07-10,2510.071,2348.746,2348.746,7950471700.0
2026-07-13,2377.699,2229.557,2246.33,6813877800.0
2026-07-14,2278.266,2147.069,2264.311,6064359800.0
2026-07-15,2287.445,2173.262,2185.418,5743305300.0
2026-07-16,2205.951,2092.905,2110.357,5625703400.0
2026-07-17,2100.944,1925.874,1938.766,6645610300.0
2026-07-20,1998.973,1831.226,1894.627,7062005100.0
2026-07-21,2061.658,1805.596,2060.485,7427290100.0
2026-07-22,2091.899,1997.349,2014.102,6053971500.0
2026-07-23,2032.0156,1938.8326,1961.7172,46607311.0
2026-07-24,1986.781,1919.9304,1941.0701,43056315.0
